ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2002-05-20,12.2568,12.3672,11.2628,12.3566,11.9034,DOWN,0
2002-05-21,12.1959,12.2949,11.2705,12.3444,11.9127,DOWN,0
2002-05-22,12.1274,12.1998,11.2758,12.2683,11.9211,UP,1
2002-05-23,12.3139,12.0513,11.2815,12.2523,11.936,UP,1
2002-05-24,12.3368,12.352,11.2864,12.2462,11.9521,DOWN,0
2002-05-28,12.1084,12.2607,11.292,12.2165,11.9667,DOWN,0
2002-05-29,11.8648,12.0323,11.2965,12.1503,11.9771,DOWN,0
2002-05-30,11.743,11.8572,11.3014,12.0734,11.9794,UP,1
2002-05-31,11.8001,11.7925,11.3061,11.9706,11.9806,UP,1
2002-06-03,11.899,11.8762,11.3116,11.8831,11.9797,DOWN,0
2002-06-04,11.6668,11.8191,11.3162,11.7947,11.9739,UP,1
2002-06-05,11.8115,11.6859,11.3215,11.7841,11.9771,DOWN,0
2002-06-06,11.6097,11.8001,11.3261,11.7574,11.9743,UP,1
2002-06-07,11.7544,11.6097,11.3308,11.7483,11.9699,DOWN,0
2002-06-10,11.5603,11.762,11.3346,11.6805,11.9596,DOWN,0
2002-06-11,11.4461,11.5717,11.3381,11.6364,11.9491,UP,1
2002-06-12,11.5108,11.4385,11.3422,11.5762,11.9428,DOWN,0
2002-06-13,11.4917,11.4194,11.3453,11.5526,11.9378,UP,1
2002-06-14,11.5032,11.4917,11.35,11.5024,11.9332,UP,1
2002-06-17,11.9105,11.9904,11.3563,11.5724,11.9363,UP,1
2002-06-18,12.1427,11.9143,11.3632,11.7118,11.9432,DOWN,0
2002-06-19,12.0894,12.116,11.37,11.8275,11.9503,DOWN,0
2002-06-20,11.9371,12.0475,11.3759,11.9165,11.9546,DOWN,0
2002-06-21,11.8876,11.9714,11.3815,11.9934,11.9571,DOWN,0
2002-06-24,11.6174,11.6478,11.3856,11.9348,11.9527,UP,1
2002-06-25,11.7239,11.6668,11.3902,11.8511,11.9507,DOWN,0
2002-06-26,11.5146,11.6859,11.3941,11.7361,11.9412,DOWN,0
2002-06-27,11.5146,11.4308,11.3992,11.6516,11.9355,UP,1
2002-06-28,11.743,11.5717,11.4055,11.6227,11.9319,DOWN,0
2002-07-01,11.5336,11.9143,11.4113,11.6059,11.922,DOWN,0
2002-07-02,10.7761,11.5336,11.4134,11.4164,11.9003,DOWN,0
2002-07-03,10.4602,10.6581,11.4123,11.2055,11.867,UP,1
2002-07-05,10.7914,10.4868,11.4127,11.0609,11.8449,UP,1
2002-07-08,10.9055,10.7914,11.4147,10.8934,11.8259,DOWN,0
2002-07-09,10.6581,10.9055,11.4158,10.7183,11.7994,DOWN,0
2002-07-10,10.3688,10.6657,11.4161,10.6368,11.7711,UP,1
2002-07-11,10.6391,10.4107,11.4175,10.6726,11.7494,UP,1
